No.,Title,Artist,Lyrics_URL,Lyrics
1,"""God's Plan""",Drake,https://genius.com/Drake-gods-plan-lyrics,"And they wishin' and wishin'
And wishin' and wishin', they wishin' on me
Yeah
I been movin' calm, don't start no trouble with me
Tryna keep it peaceful is a struggle for me
Don't pull up at 6 a.m. to cuddle with me
You know how I like it when you lovin' on me
I don't wanna die for them to miss me
Yes, I see the things that they wishin' on me
Hope I got some brothers that outlive me
They gon' tell the story, shit was different with me
God's plan, God's plan
I hold back, sometimes I won't, yeah
I feel good, sometimes I don't 
I finessed down Weston Road 
Might go down a G-O-D 
I go hard on Southside G 
I make sure that north-side eat
And still
Bad things
It's a lot of bad things that they wishin' and wishin'
And wishin' and wishin', they wishin' on me
Bad things
It's a lot of bad things that they wishin' and wishin'
And wishin' and wishin', they wishin' on me
Yeah, ayy, ayy
She say, ""Do you love me?"" I tell her, ""Only partly
I only love my bed and my mama, I'm sorry""
Fifty Dub, I even got it tatted on me
Eighty-one, they'll bring the crashers to the party
And you know me
Turn the O2 into the O3, dog
Without 40, Oli, there'd be no me
'Magine if I never met the broskies
God's plan, God's plan
I can't do this on my own, ayy 
Someone watchin' this shit close 
I've been me since Scarlett Road, ayy 
Might go down as G-O-D 
I go hard on Southside G 
I make sure that north-side eat, yeah
And still
Bad things
It's a lot of bad things that they wishin' and wishin'
And wishin' and wishin', they wishin' on me
Yeah, yeah
Bad things
It's a lot of bad things that they wishin' and wishin'
And wishin' and wishin', they wishin' on me
Yeah"
2,"""Perfect""",Ed Sheeran,https://genius.com/Ed-sheeran-perfect-lyrics,"I found a love for me
Oh, darlin', just dive right in and follow my lead
Well, I found a girl, beautiful and sweet
Oh, I never knew you were the someone waitin' for me
'Cause we were just kids when we fell in love
Not knowin' what it was
I will not give you up this time
But, darlin', just kiss me slow
Your heart is all I own
And in your eyes, you're holdin' mine
Baby, I'm dancin' in the dark with you between my arms
Barefoot on the grass while listenin' to our favourite song
When you said you looked a mess, I whispered underneath my breath
But you heard it, ""Darlin', you look perfect tonight""
Well, I found a woman stronger than anyone I know
She shares my dreams, I hope that, someday, I'll share her home
I found a love to carry more than just my secrets
To carry love, to carry children of our own
We are still kids, but we're so in love
Fightin' against all odds
I know we'll be alright this time
Darlin', just hold my hand
Be my girl, I'll be your man
I see my future in your eyes
Baby, I'm dancin' in the dark with you between my arms
Barefoot on the grass while listenin' to our favourite song
When I saw you in that dress, lookin' so beautiful
I don't deserve this, darlin', you look perfect tonight
No, no, no
Mm, no, no
Baby, I'm dancin' in the dark with you between my arms
We're barefoot on the grass, oh, listenin' to our favourite song
I have faith in what I see, now I know I have met
An angel in person and she looks perfect
I don't deserve this, you look perfect tonight"
3,"""Meant to Be""",Bebe Rexha featuring Florida Georgia Line,https://genius.com/Bebe-rexha-meant-to-be-lyrics,"Baby, lay on back and relax
Kick your pretty feet up on my dash
No need to go nowhere fast
Let's enjoy right here where we at
Who knows where this road is supposed to lead?
We got nothing but time
As long as you're right here next to me
Everything's gonna be all right
If it's meant to be, it'll be, it'll be
Baby, just let it be
If it's meant to be, it'll be, it'll be
Baby, just let it be
So won't you ride with me, ride with me?
See where this thing goes
If it's meant to be, it'll be, it'll be
Baby, if it's meant to be
[Verse 2: Bebe Rexha, 
Florida Georgia Line
]
I don't mean to be so uptight
But my heart's been hurt a couple times
By a couple guys that didn't treat me right
I ain't gon' lie, ain't gon' lie
'Cause I'm tired of the fake love
Show me what you're made of
Boy, make me believe
Whoa, hold up, girl, don't you know you're beautiful?
And it's easy to see
If it's meant to be, it'll be, it'll be
Baby, just let it be
If it's meant to be, it'll be, it'll be
Baby, just let it be
So won't you ride with me, ride with me?
See where this thing goes
If it's meant to be, it'll be, it'll be
Baby, if it's meant to be
So c'mon, ride with me, ride with me
See where this thing goes
So c'mon, ride with me, ride with me
Baby, if it's meant to be
[Bridge: Florida Georgia Line, 
Bebe Rexha
, 
Both
]
Maybe we do
Maybe we don't
Maybe we will
Maybe we won't
[Chorus: Bebe Rexha, 
Florida Georgia Line
, 
Both
]
But if it's meant to be, it'll be, it'll be
Baby, just let it be
 (
Sing it, Bebe
)
If it's meant to be, it'll be, it'll be
 (
C'mon
)
Baby, just let it be (
Let's go
)
So won't you ride with me, ride with me?
See where this thing goes
 
If it's meant to be, it'll be, it'll be
Baby, if it's meant to be
 (
Yeah
)
[Outro: Florida Georgia Line, 
Bebe Rexha
, 
Both
]
If it's meant to be, 
it'll be
, it'll be
Baby, if it's meant to be
If it's meant to be, 
it'll be
, it'll be
Baby, if it's meant to be
Hmm"
4,"""Havana""",Camila Cabello featuring Young Thug,https://genius.com/Camila-cabello-havana-lyrics,"Hey
[Chorus: Camila Cabello & 
Pharrell Williams
]
Havana, ooh, na-na (
Hey
)
Half of my heart is in Havana, ooh na-na (
Hey, hey
)
He took me back to East Atlanta, na-na-na, ah
Oh, but my heart is in Havana (
Hey
)
There's somethin' 'bout his manners (
Uh-huh
)
Havana, ooh, na-na (
Uh
)
[Verse 1: Camila Cabello & 
Pharrell Williams
]
He didn't walk up with that ""how you doin'?"" (
Uh
)
When he came in the room
He said there's a lot of girls I can do with (
Uh
)
But I can't without you
I knew him forever in a minute (
Hey
)
That summer night in June
And papa says he got malo in him (
Uh
)
[Pre-Chorus: Camila Cabello & 
Pharrell Williams
]
He got me feelin' like, ""Ooh, ooh, ooh-ooh"" 
I knew it when I met him , I loved him when I left him
Got me feelin' like, ""Ooh, ooh, ooh-ooh""
And then I had to tell him, I had to go
Oh, na-na-na-na-na (
Woo
)
[Chorus: Camila Cabello & 
Pharrell Williams
]
Havana, ooh, na-na (
Hey, hey
)
Half of my heart is in Havana, ooh na-na (
Hey, hey, uh-huh
)
He took me back to East Atlanta, na-na-na
Oh, but my heart is in Havana (
Huh
)
My heart is in Havana (
Hey
)
Havana, ooh, na-na
 
Just graduated, fresh on campus, hm
Fresh out East Atlanta with no manners, damn
Fresh out East Atlanta
 Bump on her bumper like a traffic jam
Hey, I was quick to pay that girl like Uncle Sam 
Back it on me 
Shawty cravin' on me, get to eatin' on me 
She waited on me 
Shawty cakin' on me, got the bacon on me 
This is history in the makin', homie 
Point blank, close range, that B 
If it cost a million, that's me 
I was gettin' mula, baby
[Chorus: Camila Cabello & 
Pharrell Williams
]
Havana, ooh, na-na (
Hey, hey
)
Half of my heart is in Havana, ooh, na-na (
Hey, hey; oh, oh
)
He took me back to East Atlanta (
Uh-huh
), na-na-na 
Oh, but my heart is in Havana (
Huh
)
My heart is in Havana (
Ayy
)
Havana, ooh, na-na
[Bridge: Starrah, 
Camila Cabello
, 
Both
]
Ooh, na-na, oh, na-na-na (
Ooh, ooh, ooh-ooh
)
Take me back, back, back, like 
Ooh, na-na, oh, na-na-na
Take me back, back, back, like 
Ooh, na-na, 
oh, na-na-na
Take me back, back, back like 
Ooh, na-na, 
oh, na-na-na
Take me back, back, back
 
Ayy, ayy
Ooh, ooh, ooh-ooh 
Ooh, ooh, ooh-ooh 
Take me back to my Havana
[Chorus: Camila Cabello & 
Pharrell Williams
]
Havana, ooh, na-na
Half of my heart is in Havana, ooh, na-na 
He took me back to East Atlanta, na-na-na (
Hey, hey
)
Oh, but my heart is in Havana
My heart is in Havana (
Hey
)
Havana, ooh, na-na (
Uh-huh
)
[Outro: Starrah & 
Camila Cabello
]
Oh, na-na-na (
Oh, na, yeah
)
Oh, na-na-na
Oh, na-na-na (
No, no, no, take me back
)
Oh, na-na-na
Havana, ooh, na-na"
5,"""Rockstar""",Post Malone featuring 21 Savage,https://genius.com/Post-malone-rockstar-lyrics,"Hahahahaha
Tank God
Ayy, ayy
I've been fuckin' hoes and poppin' pillies
Man, I feel just like a rockstar 
All my brothers got that gas
And they always be smokin' like a Rasta 
Fuckin' with me, call up on a Uzi
And show up, man, them the shottas 
When my homies pull up on your block
They make that thing go grra-ta-ta-ta 
Switch my whip, came back in black
I'm startin' sayin', ""Rest in peace to Bon Scott"" 
Close that door, we blowin' smoke
She ask me light a fire like I'm Morrison 
Act a fool on stage
Prolly leave my fuckin' show in a cop car 
Shit was legendary
Threw a TV out the window of the Montage
Cocaine on the table, liquor pourin', don't give a damn
Dude, your girlfriend is a groupie, she just tryna get in
Sayin', ""I'm with the band"" 
Now she actin' outta pocket, tryna grab up on my pants
Hundred bitches in my trailer say they ain't got a man
And they all brought a friend 
I've been fuckin' hoes and poppin' pillies
Man, I feel just like a rockstar 
All my brothers got that gas
And they always be smokin' like a Rasta 
Fuckin' with me, call up on a Uzi
And show up, man, them the shottas 
When my homies pull up on your block
They make that thing go grra-ta-ta-ta 
I've been in the Hills fuckin' superstars
Feelin' like a popstar 
Drankin' Henny, bad bitches jumpin' in the pool
And they ain't got on no bra 
Hit her from the back, pullin' on her tracks
And now she screamin' out, ""¡No más!"" 
They like, ""Savage, why you got a twelve car garage
And you only got six cars?"" 
I ain't with the cakin', how you kiss that? 
Your wifey say I'm lookin' like a whole snack 
Green hundreds in my safe, I got old racks 
L.A. bitches always askin', ""Where the coke at?"" 
Livin' like a rockstar, smash out on a cop car
Sweeter than a Pop-Tart, you know you are not hard
I done made the hot chart, 'member I used to trap hard
Livin' like a rockstar, I'm livin' like a rockstar (
Ayy
)
[Chorus: Post Malone & 
21
 Savage
]
I've been fuckin' hoes and poppin' pillies
Man, I feel just like a rockstar 
All my brothers got that gas
And they always be smokin' like a Rasta ('Sta, 
yeah, yeah, yeah, yeah
)
Fuckin' with me, call up on a Uzi
And show up, man, them the shottas 
When my homies pull up on your block
They make that thing go grra-ta-ta-ta 
Star, star, rockstar, rockstar, star
Rockstar
Rockstar, feel just like a–
Rockstar
Rockstar
Rockstar
Feel just like a…"
6,"""Psycho""",Post Malone featuring Ty Dolla Sign,https://genius.com/Post-malone-psycho-lyrics,"Damn, my AP goin' psycho, lil' mama bad like Michael
Can't really trust nobody with all this jewelry on you
My roof look like a no-show, got diamonds by the boatload
Come with the Tony Romo for clowns and all the bozos
My AP goin' psycho, lil' mama bad like Michael
Can't really trust nobody with all this jewelry on you
My roof look like a no-show, got diamonds by the boatload
Don't act like you my friend when I'm rollin' through my ends, though
You stuck in the friend zone, I tell that four-five the fifth, ayy
Hunnid bands inside my shorts, DeChino the shit, ayy
Try to stuff it all in, but it don't even fit, ayy
Know that I been with the shits ever since a jit, ayy
I made my first million, I'm like, ""Shit, this is it,"" ayy
30 for a walkthrough, man, we had that bitch lit, ayy
Had so many bottles, gave ugly girl a sip
Out the window of the Benzo, we get seen in the rent'
And I'm like ""Woah, man, my neck so goddamn cold”
Diamonds wet, my t-shirt soaked
I got homies, let it go, oh
My money thick, won't ever fold
She said, ""Can I have some to hold?""
And I can't ever tell you no
Damn, my AP goin' psycho, lil' mama bad like Michael
Can't really trust nobody with all this jewelry on you
My roof look like a no-show, got diamonds by the boatload
Come with the Tony Romo for clowns and all the bozos
My AP goin' psycho, lil' mama bad like Michael
Can't really trust nobody with all this jewelry on you
My roof look like a no-show, got diamonds by the boatload
Don't act like you my friend when I'm rollin' through my ends, though
The AP goin' psycho, my Rollie goin' brazy
I'm hittin' lil' mama, she wanna have my babies
It's fifty on the pinky, chain so stanky
You should see the whip, promise I can take yo' bitch
Dolla ridin' in an old school Chevy, it's a drop top
Boolin' with a thot-thot, she gon' give me top-top
Just one switch, I can make the ass drop 
Ayy, take you to the smoke shop
We gon' get high, ayy, we gon' hit Rodeo
Dial up Valentino, we gon' hit Pico
Take you where I'm from, take you to the slums
This ain't happen overnight, no, these diamonds real bright
Saint Laurent jeans, still in my Vans, though
All VVS', put you in a necklace
Girl, you look beautiful tonight
Stars on the roof, they're matching with the jewelry
Damn, my AP goin' psycho, lil' mama bad like Michael
Can't really trust nobody with all this jewelry on you
My roof look like a no-show, got diamonds by the boatload
Come with the Tony Romo for clowns and all the bozos
My AP goin' psycho, lil' mama bad like Michael
Can't really trust nobody with all this jewelry on you
My roof look like a no-show, got diamonds by the boatload
Don't act like you my friend when I'm rollin' through my ends, though"
7,"""I Like It""","Cardi B, Bad Bunny and J Balvin",https://genius.com/2019-grammy-awards-record-of-the-year-nominees-annotated,", Recording Engineer and/or Mixer and mastering engineer, if other than the artist.)
• ""I Like It""
Cardi B, Bad Bunny & J Balvin
Invincible, JWhiteDidIt, Craig Kallman & Tainy, producers; Leslie Brathwaite & Evan LaRay, engineers/mixers; Colin Leonard, mastering engineer
Track from: Invasion Of Privacy
• ""The Joke""
Brandi Carlile
Dave Cobb & Shooter Jennings, producers; Tom Elmhirst & Eddie Spear, engineers/mixers; Pete Lyman, mastering engineer
Track from: By The Way, I Forgive You
• ""This Is America""
Childish Gambino
Donald Glover & Ludwig Goransson, producers; Derek “MixedByAli” Ali & Riley Mackin, engineers/mixers; Mike Bozzi, mastering engineer
• ""God's Plan""
Drake
Boi-1Da, Cardo & Young Exclusive, producers; Noel Cadastre, Noel ""Gadget"" Campbell & Noah Shebib, engineers/mixers; Chris Athens, mastering engineer
• ""Shallow""
Lady Gaga & Bradley Cooper
Lady Gaga & Benjamin Rice, producers; Tom Elmhirst, engineer/mixer; Randy Merrill, mastering engineer
• ""All The Stars""
Kendrick Lamar & SZA
Al Shux & Sounwave, producers; Sam Ricci & Matt Schaeffer, engineers/mixers; Mike Bozzi, mastering engineer
Track from: Black Panther The Album Music From And Inspired By
• ""Rockstar""
Post Malone Featuring 21 Savage
Louis Bell & Tank God, producers; Louis Bell & Manny Marroquin, engineers/mixers; Mike Bozzi, mastering engineer
• ""The Middle""
Zedd, Maren Morris & Grey
Grey, Monsters & Strangerz & Zedd, producers; Grey, Tom Morris, Ryan Shanahan & Zedd, engineers/mixers; Mike Marsh, mastering engineer"
8,"""The Middle""","Zedd, Maren Morris and Grey",https://genius.com/5-seconds-of-summer-the-middle-zedd-maren-morris-and-grey-cover-lyrics,"One, two, egg!
[Verse 1: Luke, 
Ashton
]
Take a seat
Right over there, sat on the stairs
Stay or leave
The cabinets are bare, and I'm unaware
Of just how we got into this mess, got so aggressive
I know we meant all good intentions (
Two, three!
)
[Pre-Chorus: Luke, 
Ashton
]
So pull me closer
Why don't you pull me close?
Why don't you come on over?
I can't just let you go (
One, two!
)
[Chorus: Luke, 
All
, 
Ashton
]
Oh 
baby, why don't you just meet me in the middle?
I'm losing my mind just a little
 (
Hey!
)
So why don't you just meet me in the middle?
In the middle
Baby, why don't you just meet me in the middlе?
I'm losing my mind just a little
So why don't you just meet me in the middlе?
In the middle
Take a step
Back for a minute, into the kitchen
Floors are wet
And taps are still runnin', dishes are broken
How did we get into this mess? Got so aggressive
I know we meant all good intentions
[Pre-Chorus: Michael, 
Michael & Ashton
]
So pull me closer
Why don't you pull me close?
Why don't you come on 
over
?
I can't just let you go
Oh, baby, why don't you just meet me in the middle?
I'm losing my mind just a little
So why don't you just meet me in the middle?
In the middle
Baby, why don't you just meet me in the middle?
I'm losing my mind just a little
So why don't you just meet in the middle, middle?
In the middle, middle
Yeah!"
9,"""In My Feelings""",Drake,https://genius.com/Drake-in-my-feelings-lyrics,"Trap, TrapMoneyBenny
This shit got me in my feelings
Gotta be real with it, yeah
Kiki, do you love me? Are you riding?
Say you'll never ever leave from beside me
'Cause I want ya, and I need ya
And I'm down for you always
KB, do you love me? Are you riding?
Say you'll never ever leave from beside me
'Cause I want ya, and I need ya
And I'm down for you always
Look, the new me is really still the real me
I swear you gotta feel me before they try and kill me
They gotta make some choices, they runnin' out of options
'Cause I've been goin' off and they don't know when it's stoppin'
And when you get to toppin', I see that you've been learnin'
And when I take you shoppin', you spend it like you earned it
And when you popped off on your ex, he deserved it
I thought you were the one from the jump, that confirmed it
TrapMoneyBenny, ayy
I buy you Champagne but you love some Henny
From the block like you Jenny
I know you special, girl, 'cause I know too many
'Resha, do you love me? Are you riding?
Say you'll never ever leave from beside me
'Cause I want ya, and I need ya
And I'm down for you always
JT, do you love me? Are you riding?
Say you'll never ever leave from beside me
'Cause I want ya, and I need ya
And I'm down for you always
[Interlude: JT, 
Yung Miami
, 
Drake
 & 
Magnolia Shorty
]
Two bad bitches and we kissin' in the Wraith
Kissin'-kissin' in the Wraith, kiss-kissin' in the Wraith
I need that black card and the code to the safe
Code to the safe, code-code to the safe-safe
I show him how that neck work
Fuck that Netflix and chill, what's your net-net-net worth?
'Cause I want ya, and I need ya
And I'm down for you always
Yeah, yeah, yeah, yeah, he bad
And I'm down for you always
Yeah, yeah, yeah, guess who's back
And I'm down for you always
D-down for you al–
Black biggy biggy black biggy black blake
D-d-down for you always
I got a new boy, and that nigga trade
Kiki, do you love me? Are you riding?
Say you'll never ever leave from beside me
'Cause I want you, and I need you
And I'm down for you always
KB, do you love me? Are you riding?
Say you'll never ever leave from beside me
'Cause I want ya, and I–
[Breakdown: Lil Wayne & 
Magnolia Shorty
]
Skate and Smoke and Rap
Now let me see you
Bring that ass, bring that ass, bring that ass back
B-bring that ass, bring that ass, bring that ass back
Shawty say the nigga that she with can't hit
But shawty, I'ma hit it, hit it like I can't miss
Now let me see you
Clap that ass, you're the only one I love
Clap that ass, clap-clap that ass
Bring that ass back
Clap-clap-clap that ass, you're the only one I love
Let's go, let's go, let's go
Bring that ass back
Trap, TrapMoneyBenny
This shit got me in my feelings
Gotta be real with it, ayy, yup
(
BlaqNmilD, you a genius, you diggin' me?
)
You know what, I don't even care, I need a photo with Drake
Because my Instagram is weak as fuck
I'm just being real, my shit, look—"
10,"""Girls Like You""",Maroon 5 featuring Cardi B,https://genius.com/Maroon-5-girls-like-you-lyrics,"Spent twenty-four hours, I need more hours with you
You spent the weekend getting even, ooh
We spent the late nights making things right between us
But now it's all good, babe
Roll that Backwood, babe
And play me close
'Cause girls like you run 'round with guys like me
'Til sundown when I come through
I need a girl like you, yeah-yeah
Girls like you love fun, and yeah, me too
What I want when I come through
I need a girl like you, yeah-yeah
Yeah-yeah-yeah, yeah-yeah-yeah
I need a girl like you, yeah-yeah
Yeah-yeah-yeah, yeah-yeah-yeah
I need a girl like you
I spent last night on the last flight to you
Took a whole day up tryna get way up, ooh
We spent the daylight tryna make things right between us
But now it's all good, babe
Roll that Backwood, babe
And play me close
'Cause girls like you run 'round with guys like me
'Til sundown when I come through
I need a girl like you, yeah-yeah
Girls like you love fun, and yeah, me too
What I want when I come through
I need a girl like you, yeah-yeah
Yeah-yeah-yeah, yeah-yeah-yeah
I need a girl like you, yeah-yeah
Yeah-yeah-yeah, yeah-yeah-yeah
I need a girl like you, yeah-yeah
I need a girl like you, yeah-yeah
I need a girl like you
Maybe it's six forty-five
Maybe I'm barely alive
Maybe you've taken my shit for the last time, yeah
Maybe I know that I'm drunk
Maybe I know you're the one
Maybe I'm thinking it's better if you drive
Oh, 'cause girls like you run 'round with guys like me
'Til sundown when I come through
I need a girl like you, yeah
'Cause girls like you run 'round with guys like me 
'Til sundown when I come through
I need a girl like you, yeah-yeah 
Girls like you love fun, and yeah, me too 
What I want when I come through
I need a girl like you, yeah-yeah
Yeah-yeah-yeah, yeah-yeah-yeah
I need a girl like you, yeah-yeah 
Yeah-yeah-yeah, yeah-yeah-yeah
I need a girl like you"
